Cell Line Name;Tissue;Tissue sub-type;IC50;Cell Line Name;Primary Disease;TP53 log2(TPM+1) Expression Public 22Q4;BRAF log2(TPM+1) Expression Public 22Q4;ATOX1 log2(TPM+1) Expression Public 22Q4;SLC31A1 log2(TPM+1) Expression Public 22Q4;ATP7A log2(TPM+1) Expression Public 22Q4;ATP7B log2(TPM+1) Expression Public 22Q4;Cell Line Name;disulfiram (BRD:BRD-K32744045-001-31-2) AUC Drug sensitivity AUC (PRISM Repurposing Secondary Screen)
NCI-H1876;lung;lung_small_cell_carcinoma;0.846550;93T449;Liposarcoma;5,26;2,16;8,25;5,02;3,04;1,02;PATU8988S;0.7223219770933861
JVM-3;blood;lymphoid_neoplasm_other;0.862131;TGBC18TKB;Ampullary Carcinoma;4,52;2,80;7,50;5,00;2,45;0,63;PATU8988T;0.716316580948787
IMR-5;nervous_system;neuroblastoma;0.872318;ABC1;Non-Small Cell Lung Cancer;6,45;3,00;7,72;4,32;1,66;4,11;253JBV;0.718873964489443
SK-ES-1;bone;ewings_sarcoma;0.874776;SKN;Uterine Sarcoma/Mesenchymal;5,84;2,14;7,43;3,01;1,73;1,06;GOS3;0.73018594540798
ARH-77;blood;myeloma;0.887605;KE97;Non-Hodgkin Lymphoma;5,85;3,65;7,40;3,55;2,17;0,43;PC14;0.6857857432689171
EB2;blood;Burkitt_lymphoma;0.916612;BFTC909;Renal Cell Carcinoma;4,76;3,45;7,28;5,49;1,71;2,10;NCIH1650;0.720323149819422
697;blood;lymphoblastic_leukemia;0.949972;KCIMOH1;Pancreatic Adenocarcinoma;3,07;3,37;7,34;3,84;3,41;0,87;S117;0.7370177273876121
DEL;blood;lymphoid_neoplasm_other;0.984887;YKG1;Diffuse Glioma;6,72;3,88;8,03;4,50;2,96;2,10;U118MG;0.628638068174843
A673;soft_tissue;rhabdomyosarcoma;0.993050;MKN1;Esophagogastric Adenocarcinoma;6,25;3,80;7,34;4,54;1,96;2,62;PANC0203;0.851383963675229
P32-ISH;blood;Burkitt_lymphoma;1.013356;HMVII;Mucosal Melanoma of the Vulva/Vagina;4,29;2,87;11,79;5,06;1,68;2,53;ACHN;0.657475078372957
ES7;bone;ewings_sarcoma;1.047016;LK2;Non-Small Cell Lung Cancer;5,90;3,61;7,27;4,95;1,81;2,09;GCIY;0.721409275882981
NTERA-2-cl-D1;urogenital_system;testis;1.101938;HS888T;Non-Cancerous;4,94;3,35;7,68;4,58;2,92;0,87;TOV112D;0.6925297558907572
MOLM-13;blood;acute_myeloid_leukaemia;1.125361;ZR7530;Invasive Breast Carcinoma;4,50;2,72;7,62;3,96;1,91;2,60;A673;0.530564239174062
NCI-H526;lung;lung_small_cell_carcinoma;1.128450;SW837;Colorectal Adenocarcinoma;6,02;3,79;7,29;4,97;3,72;2,32;HT1080;0.9411261132412571
Hs-445;blood;Hodgkin_lymphoma;1.135140;WM983B;Melanoma;6,14;4,20;9,87;5,49;2,45;1,82;PANC1005;0.74293902310065
RPMI-6666;blood;Hodgkin_lymphoma;1.189420;PACADD119;Pancreatic Adenocarcinoma;5,58;2,94;7,15;4,27;2,40;1,50;RERFLCMS;0.47534931554276794
Daoy;nervous_system;medulloblastoma;1.197347;A101D;Melanoma;4,52;3,71;9,15;4,82;1,87;1,60;HCC4006;0.8245417081706241
NKM-1;blood;acute_myeloid_leukaemia;1.210414;OS252;Osteosarcoma;0,77;2,93;7,97;4,40;2,07;0,79;G292CLONEA141B1;0.790312014258828
BV-173;blood;chronic_myeloid_leukaemia;1.213039;NCIH446;Lung Neuroendocrine Tumor;5,91;4,22;6,90;3,76;2,20;1,56;ACCMESO1;0.725574622193183
SUP-M2;blood;anaplastic_large_cell_lymphoma;1.235510;PECAPJ34CLONEC12;Head and Neck Squamous Cell Carcinoma;6,59;1,88;7,02;4,38;1,19;0,38;SKES1;0.47523439237918896
MOLT-16;blood;lymphoblastic_T_cell_leukaemia;1.256428;TUHR14TKB;Renal Cell Carcinoma;4,99;3,72;7,67;4,22;1,46;2,38;PC3;0.696144894417208
ES1;bone;ewings_sarcoma;1.277956;COV434;Ovarian Epithelial Tumor;4,83;3,17;7,21;4,36;1,52;2,73;OV56;0.7295744084700451
ES8;bone;ewings_sarcoma;1.301908;YD10B;Head and Neck Squamous Cell Carcinoma;3,21;2,61;7,10;4,40;1,20;2,16;NCIH2452;0.710913727278604
CHP-134;nervous_system;neuroblastoma;1.308086;HSSCH2;Nerve Sheath Tumor;5,42;3,14;9,03;4,68;3,24;0,74;G401;0.6876352230763829
IM-9;blood;myeloma;1.330153;KKU100;Intraductal Papillary Neoplasm of the Bile Duct;4,00;1,47;7,25;4,48;1,32;2,21;ZR751;0.6709421205678929
JURL-MK1;blood;chronic_myeloid_leukaemia;1.337300;KMRC3;Renal Cell Carcinoma;5,41;3,08;8,13;3,78;3,18;3,48;GAMG;0.7252242409024731
LC4-1;blood;lymphoblastic_leukemia;1.342087;HOKUG;Glassy Cell Carcinoma of the Cervix;6,09;2,88;5,35;6,32;1,28;1,58;SIMA;0.6185999191467421
OCI-AML2;blood;acute_myeloid_leukaemia;1.355229;KASUMI2;B-Lymphoblastic Leukemia/Lymphoma;6,47;4,30;5,86;3,47;1,93;0,70;GMS10;0.7801272417712429
ESS-1;urogenital_system;endometrium;1.394086;NCIH2882;Non-Small Cell Lung Cancer;1,84;3,36;7,86;3,70;1,58;1,56;CAPAN2;0.7901375722042471
ML-2;blood;acute_myeloid_leukaemia;1.416165;KYSE140;Esophageal Squamous Cell Carcinoma;6,29;2,61;6,13;3,96;1,29;0,84;KP3;0.8064569869581941
P12-ICHIKAWA;blood;lymphoblastic_T_cell_leukaemia;1.440874;MKN7;Esophagogastric Adenocarcinoma;6,20;3,13;8,53;4,31;1,41;2,90;EFM192A;0.844948362884361
KOPN-8;blood;B_cell_leukemia;1.453033;MONOMAC6;Acute Myeloid Leukemia;5,97;3,99;6,34;6,12;1,92;0,88;HUPT3;0.896125336491946
SU-DHL-5;blood;B_cell_lymphoma;1.472465;SAS;Head and Neck Squamous Cell Carcinoma;3,11;3,24;8,39;4,46;0,44;1,41;JHOS2;0.7577007599782629
LB996-RCC;kidney;kidney;1.490909;PACADD137;Pancreatic Adenocarcinoma;6,02;2,66;6,81;4,56;1,98;3,64;HS729;0.703425602776559
BFTC-905;urogenital_system;bladder;1.524650;L428;Hodgkin Lymphoma;5,09;3,88;7,27;2,70;1,93;0,74;8MGBA;0.677931492134798
L-540;blood;Hodgkin_lymphoma;1.548888;SKMEL1;Melanoma;3,97;3,63;10,07;3,62;2,40;4,05;CFPAC1;0.777134806093792
NALM-6;blood;B_cell_leukemia;1.656210;CFPAC1;Pancreatic Adenocarcinoma;4,10;2,75;7,06;3,01;2,25;0,34;PANC0327;0.686022427138074
KARPAS-231;blood;B_cell_leukemia;1.683996;YSCCC;Intraductal Papillary Neoplasm of the Bile Duct;5,43;2,89;9,00;5,02;2,95;0,61;SNU308;0.985841496785793
KY821;blood;leukemia;1.702854;OE33;Esophagogastric Adenocarcinoma;4,76;2,82;7,68;4,14;2,09;0,79;CAL29;0.704254182225578
HAL-01;blood;lymphoblastic_leukemia;1.732927;LO68;Pleural Mesothelioma;6,23;2,33;8,20;3,88;2,72;1,28;T47D;0.7418542258240352
RS4-11;blood;leukemia;1.747173;TE4;Esophageal Squamous Cell Carcinoma;4,95;2,71;6,25;4,59;2,17;1,39;NCIH2052;0.756833664849221
SLVL;blood;B_cell_lymphoma;1.748579;PSS008;Osteosarcoma;5,11;3,97;7,87;6,63;2,68;1,13;OSRC2;0.669972520695808
P30-OHK;blood;lymphoblastic_leukemia;1.774749;HEC6;Endometrial Carcinoma;5,57;4,03;7,37;4,91;2,10;2,95;CORL105;0.729040466522693
KE-37;blood;lymphoblastic_leukemia;1.776394;UMUC16;Bladder Urothelial Carcinoma;1,90;2,84;8,22;5,02;2,74;1,23;SW579;0.765971750594867
VAL;blood;B_cell_lymphoma;1.779955;WAOSEL;Non-Hodgkin Lymphoma;5,03;1,99;6,62;1,08;0,68;0,04;PANC1;0.6873888856626321
D-283MED;nervous_system;medulloblastoma;1.803063;EFM192A;Invasive Breast Carcinoma;2,91;2,94;7,14;4,51;1,89;1,62;RD;0.749615857952409
KYM-1;soft_tissue;rhabdomyosarcoma;1.892719;SNU1040;Colorectal Adenocarcinoma;5,03;3,14;6,69;5,45;1,88;2,97;VMRCRCZ;0.7651542825848021
JVM-2;blood;lymphoid_neoplasm_other;1.923305;FU97;Esophagogastric Adenocarcinoma;4,70;3,66;7,84;5,41;0,77;4,99;TM87;0.705903915606192
BALL-1;blood;B_cell_leukemia;1.935631;59M;Ovarian Epithelial Tumor;2,62;2,96;7,51;4,09;1,59;1,92;CAL62;0.887015256289748
SR;blood;lymphoid_neoplasm_other;1.938733;LOUNH91;Non-Small Cell Lung Cancer;5,62;3,68;8,94;4,22;2,34;2,02;LOUNH91;0.8318645502257271
WIL2-NS;blood;lymphoid_neoplasm_other;1.958413;SKBR3;Invasive Breast Carcinoma;4,96;2,71;8,40;5,34;1,22;2,00;HS766T;0.770053265777686
GA-10;blood;Burkitt_lymphoma;1.980291;MHHCALL2;B-Lymphoblastic Leukemia/Lymphoma;6,95;3,36;5,54;3,54;1,39;0,65;SNU869;0.885303792668657
RPMI-8402;blood;lymphoblastic_T_cell_leukaemia;1.982942;RPMI2650;Head and Neck Squamous Cell Carcinoma;5,14;2,57;6,76;2,36;0,54;1,41;NCIH2444;0.5763815062722679
MHH-CALL-2;blood;B_cell_leukemia;1.995932;NCIH1975;Non-Small Cell Lung Cancer;6,53;3,31;7,69;4,04;2,29;1,14;SCC25;0.695772110249022
SUP-B15;blood;lymphoblastic_leukemia;2.002417;NCIH2126;Non-Small Cell Lung Cancer;3,41;3,11;6,43;5,16;3,34;1,49;RCC10RGB;0.8459563924928329
CESS;blood;acute_myeloid_leukaemia;2.037469;UACC893;Invasive Breast Carcinoma;3,48;2,99;7,53;5,90;2,32;1,78;BHT101;0.693983247688867
NCI-H2170;lung;lung_NSCLC_squamous_cell_carcinoma;2.121998;SW156;Renal Cell Carcinoma;4,52;3,18;6,73;4,47;1,25;1,77;MFE280;0.829992909024583
GI-1;nervous_system;glioma;2.131333;NZOV9;Ovarian Epithelial Tumor;4,86;3,76;6,60;4,78;2,36;2,28;PK59;0.756096402661302
OCI-M1;blood;acute_myeloid_leukaemia;2.171137;BICR78;Head and Neck Squamous Cell Carcinoma;4,81;1,40;7,36;3,80;1,06;0,21;DETROIT562;0.653042286928616
KYSE-220;aero_digestive_tract;oesophagus;2.271726;EPLC272H;Non-Small Cell Lung Cancer;3,07;2,70;6,79;4,38;1,59;0,64;SNU1079;0.686280066736037
RPMI-7951;skin;melanoma;2.273258;IGR39;Melanoma;2,99;3,29;8,31;4,92;2,59;1,52;CADOES1;0.685255319704652
SUP-T1;blood;lymphoblastic_T_cell_leukaemia;2.309098;LCLC103H;Non-Small Cell Lung Cancer;5,57;3,41;7,35;4,77;1,83;2,24;DAOY;0.671751752353792
SU-DHL-8;blood;B_cell_lymphoma;2.323242;OAW42;Ovarian Epithelial Tumor;5,44;2,66;7,90;4,51;1,20;3,61;CAL120;0.7228830450571629
SK-PN-DW;bone;ewings_sarcoma;2.335449;HCC38;Invasive Breast Carcinoma;5,17;3,45;6,53;4,24;1,89;2,63;JHH6;0.700184806824724
639-V;urogenital_system;bladder;2.353941;U87MG;Diffuse Glioma;4,02;3,19;8,27;4,50;2,18;0,33;A375;0.7888759055958979
HuO9;bone;osteosarcoma;2.357287;BT483;Invasive Breast Carcinoma;4,62;4,26;8,23;4,22;2,24;3,97;SNU398;0.6945823952154591
RPMI-8866;blood;chronic_myeloid_leukaemia;2.372637;OCILY18;Non-Hodgkin Lymphoma;5,45;2,84;5,96;2,27;1,03;1,78;ASPC1;0.650919457076592
TC-YIK;urogenital_system;cervix;2.381522;HEP3B217;Hepatocellular Carcinoma;4,56;3,28;6,66;4,77;1,66;3,23;HCC1937;0.9171261718252478
KYSE-140;aero_digestive_tract;oesophagus;2.409998;HEC1B;Endometrial Carcinoma;6,33;3,27;6,74;4,56;0,94;2,52;BICR31;0.8297283147741992
RH-1;soft_tissue;rhabdomyosarcoma;2.414202;CALU3;Non-Small Cell Lung Cancer;4,77;2,48;7,41;3,83;1,93;1,12;KALS1;0.695422670387774
EoL-1-cell;blood;haematopoietic_neoplasm_other;2.422062;AM38;Diffuse Glioma;4,29;2,86;9,04;4,33;1,33;1,25;U251MG;0.749360825974348
MOLT-4;blood;lymphoblastic_leukemia;2.458951;TASK1;Embryonal Tumor;6,62;2,82;7,10;2,81;2,60;2,33;PANC0403;0.7597129906508
NCI-H2023;lung;lung_NSCLC_adenocarcinoma;2.504635;CAL51;Invasive Breast Carcinoma;6,35;3,40;6,86;4,88;2,44;4,48;JHOM1;0.685875945961214
COR-L311;lung;lung_small_cell_carcinoma;2.515602;WM3772F;Ocular Melanoma;4,17;2,46;7,46;4,10;2,35;1,26;RT4;0.7126093446526469
EW-11;bone;ewings_sarcoma;2.520688;MAC2A;Non-Hodgkin Lymphoma;4,90;2,98;6,87;2,79;1,16;0,66;DANG;0.8127811161409101
CML-T1;blood;chronic_myeloid_leukaemia;2.583629;SF295;Diffuse Glioma;5,52;3,37;7,86;4,86;3,26;1,32;DKMG;0.71383466804087
OAW-42;urogenital_system;ovary;2.602019;L33;Adenosquamous Carcinoma of the Pancreas;2,97;2,31;6,57;4,59;1,67;2,07;KMRC20;0.6684782121249591
PSN1;pancreas;pancreas;2.602260;NCIH1963;Lung Neuroendocrine Tumor;6,37;3,87;5,89;4,27;2,20;3,50;LS1034;0.736234897369126
EW-13;bone;ewings_sarcoma;2.667139;CHLA9;Ewing Sarcoma;6,58;3,24;8,08;4,20;2,32;2,77;LMSU;0.7336461879962091
PF-382;blood;lymphoblastic_T_cell_leukaemia;2.677543;TC106;Ewing Sarcoma;2,59;2,50;7,49;3,69;1,99;1,32;KELLY;0.722785668361654
REH;blood;B_cell_leukemia;2.718816;AGS;Esophagogastric Adenocarcinoma;5,33;3,43;6,27;4,46;2,76;2,86;SKNAS;0.68101121015599
BL-41;blood;Burkitt_lymphoma;2.725588;NCIH1650;Non-Small Cell Lung Cancer;3,73;3,24;7,51;4,27;1,67;0,72;RERFLCAI;0.754201327107477
NCI-H1341;lung;lung_small_cell_carcinoma;2.781546;STM9101;Rhabdoid Cancer;5,41;2,96;6,62;4,44;1,59;3,79;CALU6;0.613221566356454
MONO-MAC-6;blood;acute_myeloid_leukaemia;2.878710;HS934T;Non-Cancerous;4,83;3,03;7,69;5,32;1,87;1,59;KP4;0.624397351162177
MOLP-8;blood;myeloma;2.883443;HT144;Melanoma;5,41;3,19;9,19;4,70;1,75;2,04;SNU213;0.5837863923824879
SBC-3;lung;lung_small_cell_carcinoma;2.896125;HT29;Colorectal Adenocarcinoma;5,86;2,95;6,16;4,52;2,27;2,52;SNU245;0.8924488936162109
WSU-NHL;blood;lymphoid_neoplasm_other;2.900289;WM3211;Melanoma;5,79;1,82;7,44;3,73;1,96;0,51;HPAC;0.7449224652013942
OCI-AML5;blood;acute_myeloid_leukaemia;3.033143;ASPC1;Pancreatic Adenocarcinoma;2,62;3,08;6,40;3,96;2,70;0,28;SF539;0.68639979213256
NCI-H82;lung;lung_small_cell_carcinoma;3.057796;SKNAS;Neuroblastoma;4,38;3,30;7,26;4,27;2,75;2,70;HCC38;0.717440171410774
NH-12;nervous_system;neuroblastoma;3.080001;SKGII;Cervical Squamous Cell Carcinoma;5,20;2,07;8,35;4,11;0,89;0,78;HCC1419;0.7081316830170509
IHH-4;thyroid;thyroid;3.145797;COV644;Ovarian Epithelial Tumor;1,67;3,29;6,62;4,65;2,26;2,54;COV362;0.7087713467288381
SW872;soft_tissue;soft_tissue_other;3.200187;LS123;Colorectal Adenocarcinoma;5,98;2,48;7,74;4,02;1,28;0,68;EWS502;0.7733262719499541
DB;blood;B_cell_lymphoma;3.213112;HUT102;Non-Hodgkin Lymphoma;5,52;3,66;7,41;3,16;2,44;0,82;SNU840;0.8099499994567859
KARPAS-299;blood;anaplastic_large_cell_lymphoma;3.217866;SCMCRM2;Rhabdomyosarcoma;5,61;2,37;7,01;3,70;2,11;2,36;KP2;0.684753274498363
H9;blood;lymphoid_neoplasm_other;3.223458;UMRC7;Renal Cell Carcinoma;4,35;1,60;7,00;1,70;1,03;1,30;BT549;0.710093033784111
HC-1;blood;hairy_cell_leukaemia;3.286099;ICC12;Intraductal Papillary Neoplasm of the Bile Duct;5,40;2,46;6,78;3,16;1,24;0,50;SNU466;0.661808675838564
CADO-ES1;bone;ewings_sarcoma;3.291125;NCIH441;Non-Small Cell Lung Cancer;5,77;4,40;6,51;3,92;3,25;1,26;NCIH841;0.708216138711635
NEC8;urogenital_system;testis;3.295592;ICC6;Intraductal Papillary Neoplasm of the Bile Duct;6,03;3,06;7,46;4,62;2,11;1,23;OUMS23;0.7192276309221329
647-V;urogenital_system;bladder;3.299800;CL40;Colorectal Adenocarcinoma;5,47;2,25;6,73;4,65;2,07;3,40;SNU1077;0.7794430999187819
NOMO-1;blood;acute_myeloid_leukaemia;3.330906;TT;Medullary Thyroid Cancer;4,31;3,95;5,49;3,51;3,25;2,73;ECGI10;0.76367785578905
WSU-DLCL2;blood;B_cell_lymphoma;3.361809;NCIH1869;Non-Small Cell Lung Cancer;4,95;3,07;7,03;4,15;1,60;0,81;PK1;0.750271833010308
TC-71;bone;ewings_sarcoma;3.376061;MERO82;Pleural Mesothelioma;5,92;2,81;8,39;4,44;1,15;1,38;EFO21;0.7522047063704731
ES4;bone;ewings_sarcoma;3.376750;SNU668;Esophagogastric Adenocarcinoma;4,61;2,45;6,68;4,21;2,01;1,33;SKLU1;0.7025798134998711
SIMA;nervous_system;neuroblastoma;3.400565;HCC1937;Invasive Breast Carcinoma;4,25;2,93;7,28;5,23;1,62;0,42;SKNBE2;0.71100385141525
Jurkat;blood;T_cell_leukemia;3.426061;PANC0213;Pancreatic Adenocarcinoma;5,13;3,45;6,80;5,56;1,32;2,38;KMRC3;0.754661657634317
U-698-M;blood;B_cell_leukemia;3.552453;PLB985;Acute Myeloid Leukemia;1,90;3,09;6,69;2,93;0,90;1,82;SNU886;0.7913601916881301
AMO-1;blood;haematopoietic_neoplasm_other;3.585516;TGBC1TKB;Intracholecystic Papillary Neoplasm;2,81;2,97;8,10;3,99;2,32;1,29;MPP89;0.667003800695124
CAL-148;breast;breast;3.598732;TE441T;Rhabdomyosarcoma;6,02;4,15;6,45;4,46;1,23;4,04;PSN1;0.6746999399986919
GRANTA-519;blood;B_cell_lymphoma;3.607280;HEC265;Endometrial Carcinoma;5,24;2,49;7,22;4,89;1,78;2,79;42MGBA;0.7269021806287341
KU812;blood;chronic_myeloid_leukaemia;3.609658;LCLC97TM1;Non-Small Cell Lung Cancer;5,11;3,28;6,20;4,61;1,49;1,07;JHOC5;0.672489603461461
SISO;urogenital_system;cervix;3.641870;HS944T;Melanoma;4,03;3,33;9,29;4,96;2,79;1,91;CCFSTTG1;0.701727401430611
KELLY;nervous_system;neuroblastoma;3.643181;EN;Endometrial Carcinoma;5,60;3,65;6,98;4,71;2,38;2,45;ISTMES2;0.911436985790744
L-428;blood;Hodgkin_lymphoma;3.758761;YAPC;Pancreatic Adenocarcinoma;5,95;3,03;6,98;4,52;2,44;1,41;YAPC;0.6797741254589971
CTV-1;blood;acute_myeloid_leukaemia;3.775278;ICC15;Intraductal Papillary Neoplasm of the Bile Duct;5,77;2,30;6,71;5,84;0,88;0,51;MSTO211H;0.809585721163721
MDA-MB-468;breast;breast;3.782703;NCIH1618;Lung Neuroendocrine Tumor;6,20;4,23;6,12;4,65;2,76;3,78;NCIH522;0.721161115296926
LAMA-84;blood;chronic_myeloid_leukaemia;3.783109;SF172;Diffuse Glioma;5,34;2,54;7,73;3,99;1,20;1,62;SNU668;0.711647386425263
JSC-1;blood;B_cell_lymphoma;3.795436;SNU1105;Diffuse Glioma;5,30;3,15;7,66;4,64;2,53;1,07;QGP1;0.845009617088604
GR-ST;blood;lymphoblastic_leukemia;3.830664;HS600T;Non-Cancerous;4,85;3,04;8,15;5,29;2,48;2,18;MKN1;0.586701439395056
OCI-AML3;blood;acute_myeloid_leukaemia;3.851174;HCC1171;Non-Small Cell Lung Cancer;5,77;3,90;7,77;3,75;1,62;1,94;HCC1428;0.8935017745514839
KCL-22;blood;chronic_myeloid_leukaemia;3.891308;NP8;Diffuse Glioma;0,01;1,95;8,07;4,99;2,50;2,19;MKN45;0.6918191519625041
PA-1;urogenital_system;ovary;3.902792;HS940T;Non-Cancerous;4,83;3,04;7,64;4,81;2,07;3,02;SKHEP1;0.674026555016093
Daudi;blood;Burkitt_lymphoma;3.936457;U937;Acute Myeloid Leukemia;3,03;3,13;6,18;4,63;1,62;2,80;U2OS;0.746568770086582
NCI-H1781;lung;lung_NSCLC_adenocarcinoma;3.951311;KMS28PE;Non-Hodgkin Lymphoma;5,55;4,07;6,86;4,04;1,26;1,05;NCIH226;0.7956502390034291
GB-1;nervous_system;glioma;3.951818;CW2;Colorectal Adenocarcinoma;6,76;2,79;6,44;4,94;1,64;3,46;SNU1105;0.700371714866606
A101D;skin;melanoma;3.961133;SH4;Melanoma;4,10;3,70;9,74;5,75;2,80;2,59;HCC1143;0.74499002774027
HL-60;blood;acute_myeloid_leukaemia;4.005916;REH;B-Lymphoblastic Leukemia/Lymphoma;7,05;4,51;6,33;4,24;1,94;1,41;G402;0.690065251645322
SNU-5;digestive_system;stomach;4.020027;GAMG;Diffuse Glioma;5,09;3,58;9,03;4,85;1,95;2,07;SF295;0.8836460566520359
KM-H2;blood;Hodgkin_lymphoma;4.022374;SKGI;Cervical Squamous Cell Carcinoma;5,07;2,05;7,08;4,05;1,71;0,76;OE33;0.8204841920982242
Raji;blood;Burkitt_lymphoma;4.142235;C125PM;Colorectal Adenocarcinoma;5,13;2,63;7,68;4,00;1,21;2,41;SW780;0.767173054347632
YT;blood;lymphoid_neoplasm_other;4.165464;CASKI;Cervical Squamous Cell Carcinoma;4,72;2,59;6,72;3,37;1,28;0,80;H4;0.705728001721866
G-402;soft_tissue;soft_tissue_other;4.173135;HS840T;Non-Cancerous;4,47;2,99;7,67;4,71;2,95;1,14;LUDLU1;0.7340097102320259
NY;bone;osteosarcoma;4.173912;HCT116;Colorectal Adenocarcinoma;4,99;3,24;6,94;4,58;1,97;2,28;HLF;0.6682847670256429
ALL-PO;blood;lymphoblastic_leukemia;4.238862;C10;Colorectal Adenocarcinoma;4,91;2,85;7,27;4,39;1,90;1,70;NCIH520;0.7155040865859058
GDM-1;blood;acute_myeloid_leukaemia;4.330970;HT55;Colorectal Adenocarcinoma;5,83;2,77;7,03;5,01;1,29;2,19;J82;0.695135988218562
NCI-H1963;lung;lung_small_cell_carcinoma;4.341665;NCIH1819;Non-Small Cell Lung Cancer;2,69;3,01;7,92;3,96;1,70;2,11;TEN;0.705451681252618
BC-1;blood;B_cell_lymphoma;4.355304;KMS27;Non-Hodgkin Lymphoma;6,08;3,59;7,14;4,05;1,16;0,18;COLO800;0.67618523854915
Hs-633T;soft_tissue;fibrosarcoma;4.409736;MCF7;Invasive Breast Carcinoma;6,32;3,08;7,98;4,79;2,06;1,97;NCIH747;0.7060836043544141
WM1552C;skin;melanoma;4.545894;MUTZ8;Acute Myeloid Leukemia;2,60;2,30;5,65;1,81;1,01;0,68;K029AX;0.7352186870370891
SU-DHL-10;blood;B_cell_lymphoma;4.549628;EFM19;Invasive Breast Carcinoma;5,16;2,99;6,48;4,05;1,34;3,71;SNU685;0.7274690411517529
EW-1;bone;ewings_sarcoma;4.559829;JHH7;Hepatocellular Carcinoma;5,33;3,86;7,42;4,31;2,93;4,16;TE5;0.689673958264257
A4-Fuk;blood;B_cell_lymphoma;4.563628;NCIH2170;Non-Small Cell Lung Cancer;5,36;3,32;6,85;4,12;2,51;3,59;769P;0.7190266662624242
H4;nervous_system;glioma;4.573783;HEC1;Endometrial Carcinoma;6,10;2,60;7,30;4,34;0,80;0,83;NCIH1944;0.6861875314944521
ES-2;urogenital_system;ovary;4.624165;SR786;Non-Hodgkin Lymphoma;5,01;4,16;6,26;2,66;2,51;2,19;BICR6;0.7084137934411422
COR-L32;lung;lung_small_cell_carcinoma;4.634039;CCLP1;Intraductal Papillary Neoplasm of the Bile Duct;2,43;3,35;8,12;3,70;1,58;1,96;NCIH838;0.7174713624740171
DU-4475;breast;breast;4.670028;UMUC6;Bladder Urothelial Carcinoma;3,28;3,38;5,94;4,84;1,42;1,53;PANC0813;0.7614236358041311
SKN-3;aero_digestive_tract;head_and_neck;4.734162;NCIH510;Lung Neuroendocrine Tumor;5,87;2,71;6,73;4,43;2,15;2,76;SW1353;0.7016545844535911
OC-314;urogenital_system;ovary;4.787231;TO14;Ovarian Epithelial Tumor;5,98;2,66;8,30;3,82;2,51;1,88;SNU449;0.819795971505933
EW-7;bone;ewings_sarcoma;4.808042;COLO679;Melanoma;4,10;3,49;9,54;5,51;2,24;2,40;SW837;0.8938728059231429
MOG-G-UVW;nervous_system;glioma;4.959495;NHAHTDD;Non-Cancerous;5,72;3,33;7,95;4,30;2,47;1,81;SKMEL3;0.776588698226341
KMS-12-BM;blood;myeloma;5.004277;MEL202;Ocular Melanoma;4,89;2,70;7,43;4,96;3,02;1,10;UACC62;0.670958908107991
CCRF-CEM;blood;lymphoblastic_leukemia;5.066274;HGC27;Esophagogastric Adenocarcinoma;2,36;2,86;7,30;4,62;1,34;1,50;NCIN87;0.7556274014831129
